Date,Close
1/3/2012,51.3
1/4/2012,51.5
1/5/2012,52.54
1/6/2012,52.73
1/9/2012,52.26
1/10/2012,53.42
1/11/2012,54.35
1/12/2012,55.11
1/13/2012,55.25
1/17/2012,54.63
1/18/2012,56.12
1/19/2012,56.94
1/20/2012,57.36
1/23/2012,58.25
1/24/2012,58.08
1/25/2012,57.78
1/26/2012,55.59
1/27/2012,57.22
1/30/2012,57.38
1/31/2012,57.24
2/1/2012,58.33
2/2/2012,58.32
2/3/2012,59.87
2/6/2012,59.99
2/7/2012,60.43
2/8/2012,60.54
2/9/2012,59.85
2/10/2012,59
2/13/2012,60.17
2/14/2012,59.41
2/15/2012,60.2
2/16/2012,60.92
2/17/2012,61.39
2/21/2012,61.36
2/22/2012,60.83
2/23/2012,61.24
2/24/2012,61.09
2/27/2012,60.62
2/28/2012,61.31
2/29/2012,61.16
3/1/2012,62.01
3/2/2012,61.34
3/5/2012,61.53
3/6/2012,59.75
3/7/2012,60.78
3/8/2012,61.88
3/9/2012,61.97
3/12/2012,61.22
3/13/2012,63.07
3/14/2012,61.58
3/15/2012,63.24
3/16/2012,63.71
3/19/2012,64.11
3/20/2012,64.65
3/21/2012,63.89
3/22/2012,62.88
3/23/2012,62.99
3/26/2012,64.05
3/27/2012,63.55
3/28/2012,63.42
3/29/2012,62.76
3/30/2012,63.39
4/2/2012,64.5
4/3/2012,63.65
4/4/2012,62.82
4/5/2012,62.52
4/9/2012,61.13
4/10/2012,59.33
4/11/2012,60.37
4/12/2012,61.4
4/13/2012,59.91
4/16/2012,60.07
4/17/2012,61.16
4/18/2012,60.53
4/19/2012,60.17
4/20/2012,59.73
4/23/2012,58.93
4/24/2012,59.26
4/25/2012,60.19
4/26/2012,61.31
4/27/2012,61.37
4/30/2012,60.54
5/1/2012,60.88
5/2/2012,60.94
5/3/2012,54.81
5/4/2012,52.89
5/7/2012,52.19
5/8/2012,51.58
5/9/2012,51.06
5/10/2012,51.64
5/11/2012,51.51
5/14/2012,49.81
5/15/2012,48.74
5/16/2012,47.46
5/17/2012,46.04
5/18/2012,46.1
5/21/2012,46.69
5/22/2012,46.68
5/23/2012,46.68
5/24/2012,47.33
5/25/2012,47.2
5/29/2012,47.87
5/30/2012,46.65
5/31/2012,46.45
6/1/2012,44.74
6/4/2012,44.75
6/5/2012,45.99
6/6/2012,47.84
6/7/2012,47.94
6/8/2012,47.97
6/11/2012,46.83
6/12/2012,47.61
6/13/2012,47.19
6/14/2012,47.8
6/15/2012,48.59
6/18/2012,47.38
6/19/2012,48.33
6/20/2012,48.4
6/21/2012,46.82
6/22/2012,47.08
6/25/2012,45.65
6/26/2012,45.8
6/27/2012,46.56
6/28/2012,46.77
6/29/2012,48.43
7/2/2012,48.26
7/3/2012,49
7/5/2012,48.18
7/6/2012,47.8
7/9/2012,47.42
7/10/2012,47.04
7/11/2012,47.77
7/12/2012,47.55
7/13/2012,49.14
7/16/2012,48.35
7/17/2012,48.65
7/18/2012,48.65
7/19/2012,48.57
7/20/2012,46.7
7/23/2012,45.83
7/24/2012,45.46
7/25/2012,45.85
7/26/2012,46.62
7/27/2012,48.08
7/30/2012,48.57
7/31/2012,48.28
8/1/2012,47.58
8/2/2012,50.04
8/3/2012,52.03
8/6/2012,52.13
8/7/2012,53.34
8/8/2012,53.62
8/9/2012,53.75
8/10/2012,53.89
8/13/2012,53.82
8/14/2012,53.54
8/15/2012,54
8/16/2012,54.31
8/17/2012,54.19
8/20/2012,54.58
8/21/2012,54.93
8/22/2012,54.59
8/23/2012,53.8
8/24/2012,54.62
8/27/2012,54.15
8/28/2012,53.83
8/29/2012,54.49
8/30/2012,54.09
8/31/2012,54.51
9/4/2012,54.63
9/5/2012,54.67
9/6/2012,56.26
9/7/2012,57.19
9/10/2012,56.12
9/11/2012,56.68
9/12/2012,56.91
9/13/2012,57.96
9/14/2012,58.63
9/17/2012,58.07
9/18/2012,57.54
9/19/2012,57.54
9/20/2012,57.05
9/21/2012,56.95
9/24/2012,57.13
9/25/2012,55.56
9/26/2012,53.74
9/27/2012,54.82
9/28/2012,54.51
10/1/2012,54.48
10/2/2012,54.48
10/3/2012,54.41
10/4/2012,55.78
10/5/2012,56.7
10/8/2012,56.67
10/9/2012,56.62
10/10/2012,56.05
10/11/2012,56.92
10/12/2012,56.05
10/15/2012,56.66
10/16/2012,58.04
10/17/2012,58.93
10/18/2012,59.89
10/19/2012,58.04
10/22/2012,58.1
10/23/2012,56.97
10/24/2012,56.57
10/25/2012,57.31
10/26/2012,57.3
10/31/2012,57.05
11/1/2012,57.69
11/2/2012,57.24
11/5/2012,56.99
11/6/2012,58.03
11/7/2012,55.39
11/8/2012,52.76
11/9/2012,52.71
11/12/2012,52.19
11/13/2012,50.93
11/14/2012,49.95
11/15/2012,50.42
11/16/2012,48.74
11/19/2012,49.81
11/20/2012,50.78
11/21/2012,51.13
11/23/2012,52.02
11/26/2012,51.78
11/27/2012,50.83
11/28/2012,51.6
11/29/2012,51.83
11/30/2012,52.12
12/3/2012,51.96
12/4/2012,52.06
12/5/2012,52.61
12/6/2012,52.63
12/7/2012,52.47
12/10/2012,52.5
12/11/2012,52.42
12/12/2012,52.67
12/13/2012,51.76
12/14/2012,50.92
12/17/2012,52
12/18/2012,53.12
12/19/2012,53.25
12/20/2012,54.48
12/21/2012,53.43
12/24/2012,53.22
12/26/2012,53.08
12/27/2012,53.05
12/28/2012,52.47
12/31/2012,53.33
1/2/2013,56.02
1/3/2013,55.65
1/4/2013,56.52
1/7/2013,55.79
1/8/2013,55.66
1/9/2013,56.31
1/10/2013,57.9
1/11/2013,57.6
1/14/2013,57.2
1/15/2013,57.14
1/16/2013,56.81
1/17/2013,57.74
1/18/2013,57.71
1/22/2013,58.58
1/23/2013,58.25
1/24/2013,58.29
1/25/2013,59.09
1/28/2013,58.87
1/29/2013,58.75
1/30/2013,58.01
1/31/2013,57.88
2/1/2013,58.84
2/4/2013,57.66
2/5/2013,58.5
2/6/2013,58.51
2/7/2013,56.9
2/8/2013,57.6
2/11/2013,57.21
2/12/2013,57
2/13/2013,57.33
2/14/2013,57.06
2/15/2013,57.28
2/19/2013,58.15
2/20/2013,56.05
2/21/2013,55.11
2/22/2013,56.08
2/25/2013,54.7
2/26/2013,54.64
2/27/2013,55.86
2/28/2013,55.57
3/1/2013,54.98
3/4/2013,55.43
3/5/2013,56.76
3/6/2013,56.95
3/7/2013,58.23
3/8/2013,59.6
3/11/2013,60.41
3/12/2013,59.87
3/13/2013,59.69
3/14/2013,60.18
3/15/2013,60.41
3/18/2013,59.4
3/19/2013,59.42
3/20/2013,59.6
3/21/2013,58.33
3/22/2013,58.75
3/25/2013,58.64
3/26/2013,59.59
3/27/2013,59.11
3/28/2013,58.99
4/1/2013,58.28
4/2/2013,59.04
4/3/2013,57.98
4/4/2013,56.96
4/5/2013,55.48
4/8/2013,55.79
4/9/2013,56.44
4/10/2013,57.86
4/11/2013,57.64
4/12/2013,56.9
4/15/2013,55.58
4/16/2013,56.72
4/17/2013,55.88
4/18/2013,54.91
4/19/2013,55.77
4/22/2013,56.1
4/23/2013,57.94
4/24/2013,58.34
4/25/2013,59.34
4/26/2013,59.25
4/29/2013,60.29
4/30/2013,60.42
5/1/2013,59.28
5/2/2013,63.41
5/3/2013,65.2
5/6/2013,65.8
5/7/2013,65.68
5/8/2013,65.97
5/9/2013,65.51
5/10/2013,65.05
5/13/2013,65.1
5/14/2013,66.6
5/15/2013,67.7
5/16/2013,67.2
5/17/2013,68.38
5/20/2013,68.43
5/21/2013,68.05
5/22/2013,67.45
5/23/2013,66.99
5/24/2013,66.46
5/28/2013,67.87
5/29/2013,69.22
5/30/2013,70.01
5/31/2013,68.97
6/3/2013,69.57
6/4/2013,69.07
6/5/2013,67.45
6/6/2013,69.06
6/7/2013,71.72
6/10/2013,72.36
6/11/2013,70.93
6/12/2013,71.01
6/13/2013,71.7
6/14/2013,70.48
6/17/2013,72.19
6/18/2013,72.97
6/19/2013,72.23
6/20/2013,71.91
6/21/2013,71.55
6/24/2013,70.26
6/25/2013,71.09
6/26/2013,71.05
6/27/2013,72.41
6/28/2013,73.03
7/1/2013,73.3
7/2/2013,74.1
7/3/2013,73.84
7/5/2013,75.6
7/8/2013,76.78
7/9/2013,78.1
7/10/2013,77.43
7/11/2013,78.01
7/12/2013,77.89
7/15/2013,77.53
7/16/2013,77.33
7/17/2013,77.06
7/18/2013,78.52
7/19/2013,78.19
7/22/2013,79.15
7/23/2013,78.93
7/24/2013,78.4
7/25/2013,78.73
7/26/2013,79.16
7/29/2013,78.84
7/30/2013,78.68
7/31/2013,78.97
8/1/2013,82.62
8/2/2013,82.41
8/5/2013,82.42
8/6/2013,80.73
8/7/2013,79.37
8/8/2013,80.41
8/9/2013,80.58
8/12/2013,79.71
8/13/2013,80.42
8/14/2013,80.13
8/15/2013,78.74
8/16/2013,79.61
8/19/2013,77.9
8/20/2013,78.09
8/21/2013,77.69
8/22/2013,79.51
8/23/2013,78.7
8/26/2013,77.84
8/27/2013,74.57
8/28/2013,75.07
8/29/2013,75.41
8/30/2013,74.88
9/3/2013,75.92
9/4/2013,78.19
9/5/2013,78.05
9/6/2013,77.55
9/9/2013,78.72
9/10/2013,80.6
9/11/2013,80.23
9/12/2013,79.95
9/13/2013,79.69
9/16/2013,80.91
9/17/2013,81.63
9/18/2013,80.24
9/19/2013,78.69
9/20/2013,78.24
9/23/2013,77.98
9/24/2013,77.8
9/25/2013,78.81
9/26/2013,78.8
9/27/2013,78.41
9/30/2013,77.98
10/1/2013,78.09
10/2/2013,78.29
10/3/2013,77.25
10/4/2013,78.4
10/7/2013,77.41
10/8/2013,75.99
10/9/2013,75.99
10/10/2013,79.07
10/11/2013,79.87
10/14/2013,80.26
10/15/2013,79.74
10/16/2013,81.53
10/17/2013,82.26
10/18/2013,82.53
10/21/2013,81.42
10/22/2013,81.72
10/23/2013,80.52
10/24/2013,81.37
10/25/2013,81.41
10/28/2013,81.05
10/29/2013,82.66
10/30/2013,82.2
10/31/2013,81.39
11/1/2013,81.19
11/4/2013,81.57
11/5/2013,81.47
11/6/2013,81.79
11/7/2013,83.76
11/8/2013,86.9
11/11/2013,86.49
11/12/2013,86.64
11/13/2013,87.83
11/14/2013,89.05
11/15/2013,88.62
11/18/2013,88.65
11/19/2013,88.98
11/20/2013,88.89
11/21/2013,90.2
11/22/2013,90.07
11/25/2013,89.23
11/26/2013,89.74
11/27/2013,89.28
11/29/2013,88.76
12/2/2013,89.46
